name,word,count
visual arts,visual arts,6979
fashion,fashion,1545
business,business,29431
dance,dance,6374
science,science,18391
journalism,journalism,3326
academia,academia,23103
military,military,14286
acting,acting,26613
literature,literature,38577
music,music,13727
leadership,leadership,54864
teaching,teaching,2765
politics,politics,18878
sports,sports,11762
law,law,8985
sister,sister,12198
daughter,daughter,22697
family,family,13799
grandchildren,grandchildren,16556
wife,wife,28627
divorce,divorce,3192
father,father,9443
brother,brother,13046
son,son,26934
marriage,marriage,10596
friend,friend,4001
mother,mother,6202
children,children,8782
husband,husband,5348
established,established,2791
major,major,5309
religion,religion,7761
love,love,2659
power,power,3224
elected,elected,3076
career,career,12477
national,national,12849
democrat,democrat,3385
award,award,7053
culture,culture,2845
won,won,8078
taught,taught,6041
interest,interest,2456
social,social,4307
action,action,4793
black,black,5337
republican,republican,2194
book,book,10183
important,important,2798
